"school_name","school_type","city","telephone0","telephone1","fax","website","email","formation_type","network_type","level","administrative_region","language","code","schoolboard","manager","address","city_province","postal_code"
"École de la Chanterelle","Préscolaire et primaire (public)","Valcourt","(819) 847-1610","(819) 847-1610","(450) 532-3178","","lachanterelle@csdessommets.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","753055","Commission scolaire des Sommets","Angela Elias","1100, rue Champêtre","Valcourt (Québec)","J0E 2L0"
"École secondaire de l'Odyssée","Secondaire (public)","Valcourt","(819) 847-1610","(819) 847-1610","(450) 532-2973","http://www.csdessommets.qc.ca/ecoles/odyssee/index.html","lodyssee@csdessommets.qc.ca","Générale","Public","Secondaire","Estrie","Français","753053","Commission scolaire des Sommets","Hugues Émond","900, rue Montcalm","Valcourt (Québec)","J0E 2L0"
"Collège François-Delaplace","Secondaire (privé)","Waterville","(819) 837-2882","(819) 837-2882","(819) 837-0625","http://www.college-francois-delaplace.qc.ca","secretariat@college-francois-delaplace.qc.ca","Générale","Privé","Secondaire","Estrie","Français","098501","Collège François-Delaplace","Josée Hamel","365, rue Compton Est","Waterville (Québec)","J0B 3H0"
"École des Enfants-de-la-Terre","Préscolaire, primaire et secondaire (public)","Waterville","(819) 822-5302","(819) 822-5302","(819) 837-0991","http://www.csrs.qc.ca/etablissements","enfantsdelaterre@csrs.qc.ca","Générale","Public","Préscolaire, Primaire, Secondaire","Estrie","Français","752055","Commission scolaire de la Région-de-Sherbrooke","Ariane Brouillette","2000, chemin Val-Estrie","Waterville (Québec)","J0B 3H0"
"École Notre-Dame-du-Sacré-Coeur","Préscolaire et primaire (public)","Weedon","(819) 832-1983","(819) 832-1983","(819) 877-3131","","Francoise.Sirois@cshc.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","751068","Commission scolaire des Hauts-Cantons","David Morin","211, rue Saint-Janvier","Weedon (Québec)","J0B 3J0"
"Centre d'excellence en formation industrielle","Formation professionnelle (public)","Windsor","(819) 847-1610","(819) 847-1610","(819) 845-1001","","cfpmorilac@csdessommets.qc.ca","Professionnelle","Public","Formation professionnelle","Estrie","Français","753403","Commission scolaire des Sommets","Claude Carrier","100, rue Boisjoli","Windsor (Québec)","J1S 2X8"
"École Saint-Gabriel","Préscolaire et primaire (public)","Windsor","(819) 847-1610","(819) 847-1610","(819) 845-4298","","stgabriel@csdessommets.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","753065","Commission scolaire des Sommets","Marc Poirier","65, rue Saint-Antoine","Windsor (Québec)","J1S 1S1"
"École Saint-Philippe","Préscolaire et primaire (public)","Windsor","(819) 847-1610","(819) 847-1610","(819) 845-4798","http://csdessommets.qc.ca/ecoles/st-philippe/école_st.htm","stphilippe@csdessommets.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","753067","Commission scolaire des Sommets","Josée Poirier","101, rue Ambroise-Dearden","Windsor (Québec)","J1S 1H2"
"École secondaire du Tournesol","Secondaire (public)","Windsor","(819) 847-1610","(819) 847-1610","(819) 845-5740","http://www.csdessommets.qc.ca/ecoles/tournesol/accueil.html","letournesol@csdessommets.qc.ca","Générale","Public","Secondaire","Estrie","Français","753057","Commission scolaire des Sommets","Sylvie Bernier","250, rue Saint-Georges","Windsor (Québec)","J1S 1K4"
"École Hamelin","Préscolaire et primaire (public)","Wotton","(819) 847-1610","(819) 847-1610","(819) 828-0445","","alexandre.neron@csdessommets.qc.ca","Générale","Public","Préscolaire, Primaire","Estrie","Français","753005","Commission scolaire des Sommets","Alexandre Néron","405, rue Monseigneur L'Heureux","Wotton (Québec)","J0A 1N0"
